industry_type,region,country,year,co2_emissions_metrictons,energy_consumption_twh,automobile_co2_emissions_metrictons,industrial_co2_emissions_metrictons,agriculture_co2_emissions_metrictons,domestic_co2_emissions_metrictons,population_millions,gdp_billion_usd,urbanization_percentage,renewable_energy_percentage,industrial_growth_percentage,transport_growth_percentage,co2_emissions_per_capita,energy_consumption_per_capita,renewable_energy_contribution
Energy,Africa,Australia,2000,169.16,968.48,19.41,174.97,2.45,3.21,683.06,23047.18,52.7,40.23,-6.46,1.03,0.24765027962404476,1.4178549468567916,389.61950399999995
Construction,Africa,Australia,2000,98.52,660.43,72.82,61.14,39.54,10.64,198.71,23904.42,41.69,85.69,-7.02,-2.64,0.4957978964319863,3.323587137033868,565.922467
Construction,Africa,Australia,2000,68.45,950.79,18.53,35.85,49.26,12.39,604.73,1131.0,77.44,7.83,-8.65,-2.82,0.11319101086435268,1.572255386701503,74.446857
Construction,Africa,Australia,2000,226.4,811.67,0.48,84.6,0.79,18.57,1394.69,12678.05,68.78,10.39,1.67,7.38,0.1623299801389556,0.5819716209336842,84.332513
Manufacturing,Africa,Australia,2000,135.89,446.57,41.1,169.57,18.7,6.79,554.34,18555.67,64.7,14.29,-8.81,-0.73,0.24513836273766998,0.8055886279178843,63.81485299999999
Mining,Africa,Australia,2000,220.83,333.93,98.72,17.89,31.34,11.76,701.99,24912.99,24.0,52.09,-4.47,7.62,0.31457713072835797,0.47569053690223506,173.944137
Mining,Africa,Australia,2000,73.59,820.05,15.46,126.63,37.02,19.74,576.81,14163.73,33.8,63.87,-2.66,9.06,0.12758100587715193,1.4216986529359754,523.7659349999999
Manufacturing,Africa,Australia,2000,249.19,519.68,21.08,7.33,1.95,4.75,109.41,2607.47,30.36,99.06,1.01,5.4,2.2775797459098803,4.749840051183621,514.7950079999999
Construction,Africa,Australia,2000,32.97,93.79,71.75,51.95,39.41,11.85,827.91,9107.42,94.91,74.89,12.57,-0.0,0.039823169185056344,0.11328526047517243,70.239331
Energy,Africa,Australia,2000,25.12,813.16,51.87,2.53,33.72,3.09,1141.25,5757.45,32.36,55.61,10.64,-2.96,0.022010952902519167,0.7125169769989047,452.19827599999996
Manufacturing,Africa,Australia,2000,134.91,228.0,42.36,10.68,23.28,18.0,540.45,13057.49,99.75,64.17,-0.27,0.13,0.24962531223980014,0.4218706633361088,146.3076
Construction,Africa,Australia,2000,158.79,889.99,97.6,46.67,18.93,16.28,1202.44,17261.83,41.1,96.38,-8.81,-4.31,0.13205648514686802,0.7401533548451482,857.772362
Mining,Africa,Brazil,2000,18.44,915.36,66.27,56.59,27.85,5.3,825.06,23154.16,87.7,45.92,-6.57,-3.78,0.022349889704991154,1.1094465857028581,420.333312
Energy,Africa,Brazil,2000,172.29,530.43,12.55,72.3,9.81,1.14,795.53,2668.3,47.44,25.17,-5.9,8.98,0.2165725993991427,0.666763038477493,133.509231
Construction,Africa,Brazil,2000,86.52,161.73,35.95,148.25,6.7,9.38,1233.51,23543.29,45.82,79.64,-9.1,-2.97,0.07014130408346912,0.13111365128778849,128.801772
Energy,Africa,Brazil,2000,288.1,215.11,26.84,188.23,32.89,15.69,739.28,17844.03,43.39,41.12,-9.62,6.44,0.3897034952927173,0.29097229737041447,88.45323200000001
Manufacturing,Africa,Brazil,2000,128.42,485.15,95.37,154.57,4.79,2.46,346.78,8131.95,65.43,55.56,11.81,9.12,0.3703212411327066,1.3990137839552454,269.54934000000003
Manufacturing,Africa,Brazil,2000,138.45,414.76,82.77,118.51,23.87,1.39,1249.72,16343.44,44.95,51.39,8.54,2.43,0.1107848157987389,0.33188234164452834,213.145164
Construction,Africa,Brazil,2000,84.92,881.07,51.44,109.98,9.43,17.2,83.54,12807.74,89.13,74.33,2.57,3.96,1.0165190327986593,10.546684223126645,654.8993310000001
Energy,Africa,Brazil,2000,249.49,555.67,43.46,119.36,42.67,11.54,806.83,18703.32,68.15,73.68,5.48,9.95,0.30922251279699564,0.6887076583666942,409.41765599999997
